xmin,ymin,zmin,xmax,ymax,zmax
10.42,-10.58,4.82,11.48,-10.58,5.57
10.3,-9.25,3.76203,11.55,-8.5,3.76203
10.3,-8.4,3.76093,11.55,-7.45,3.76093
9.866984,-7.34,4.32,9.866984,-6.365,5.57
